"id","active","Address","createdBy","createdDateTime","lookup_field","managingOrganization","modifiedBy","modifiedDateTime","name","position","UPRN"
"2172173635270927","true","[{""M"":{""country"":{""S"":""England""},""city"":{""S"":""Truro""},""line"":{""L"":[{""S"":""13 Boscawen Street""}]},""district"":{""S"":""Cornwall""},""postalCode"":{""S"":""TR1 2QU""}}}]","Admin","20-03-2024 18:18:23","FPT30","","Admin","20-03-2024 18:18:23","Superdrug Pharmacy","{""longitude"":{""S"":""""},""latitude"":{""S"":""""}}","100041022684"
"8632927107737483","true","[{""M"":{""country"":{""S"":""England""},""city"":{""S"":""Tavistock""},""line"":{""L"":[{""S"":""Abbey Rise""}]},""postalCode"":{""S"":""PL19 9FD""}}}]","Admin","20-03-2024 18:17:57","FG456","","Admin","20-03-2024 18:17:57","Tavyside Pharmacy","{""longitude"":{""S"":""""},""latitude"":{""S"":""""}}",""
"8217880236411556","true","[{""M"":{""country"":{""S"":""England""},""city"":{""S"":""Padstow""},""line"":{""L"":[{""S"":""The Market""}]},""district"":{""S"":""Cornwall""},""postalCode"":{""S"":""PL28 8AL""}}}]","Admin","20-03-2024 18:18:29","FAG61","","Admin","20-03-2024 18:18:29","Boots","{""longitude"":{""S"":""""},""latitude"":{""S"":""""}}",""
"9992355656187673","true","[{""M"":{""country"":{""S"":""England""},""city"":{""S"":""St. Austell""},""line"":{""L"":[{""S"":""29 Fore Street""}]},""district"":{""S"":""Cornwall""},""postalCode"":{""S"":""PL25 5EP""}}}]","Admin","20-03-2024 18:18:19","FVJ67","","Admin","20-03-2024 18:18:19","Boots","{""longitude"":{""S"":""""},""latitude"":{""S"":""""}}","100041030809"
"6239574663405158","true","[{""M"":{""country"":{""S"":""England""},""city"":{""S"":""Axminster""},""line"":{""L"":[{""S"":""Trinity Square""}]},""district"":{""S"":""Devon""},""postalCode"":{""S"":""EX13 5AP""}}}]","Admin","20-03-2024 18:17:28","FFQ10","","Admin","20-03-2024 18:17:28","Morton'S Pharmacy","{""longitude"":{""S"":""""},""latitude"":{""S"":""""}}",""
"2405230129186760","true","[{""M"":{""country"":{""S"":""England""},""city"":{""S"":""Nottingham""},""line"":{""L"":[{""S"":""1 Thane Road""}]},""district"":{""S"":""Nottinghamshire""},""postalCode"":{""S"":""NG90 1BS""}}}]","Admin","20-03-2024 18:17:44","P08F","","Admin","20-03-2024 18:17:44","Boots Uk Limited","{""longitude"":{""S"":""""},""latitude"":{""S"":""""}}",""
"1705962718690592","true","[{""M"":{""country"":{""S"":""England""},""city"":{""S"":""London""},""line"":{""L"":[{""S"":""Unit 13""},{""S"":""Containerville Studios""},{""S"":""35 Corbridge Crescent""}]},""postalCode"":{""S"":""E2 9EZ""}}}]","Admin","20-03-2024 18:17:38","P4TF","","Admin","20-03-2024 18:17:38","Phlo Technologies Ltd","{""longitude"":{""S"":""""},""latitude"":{""S"":""""}}","6194972"
"3343245624161855","true","[{""M"":{""country"":{""S"":""England""},""city"":{""S"":""Bodmin""},""line"":{""L"":[{""S"":""17 Dennison Road""}]},""district"":{""S"":""Cornwall""},""postalCode"":{""S"":""PL31 2LL""}}}]","Admin","20-03-2024 18:18:31","FEA61","","Admin","20-03-2024 18:18:31","Day Lewis Pharmacy","{""longitude"":{""S"":""""},""latitude"":{""S"":""""}}",""
"3189571000473221","true","[{""M"":{""country"":{""S"":""England""},""city"":{""S"":""Leeds""},""line"":{""L"":[{""S"":""C/O Nhs England""},{""S"":""1W09, 1St Floor, Quarry House""},{""S"":""Quarry Hill""}]},""postalCode"":{""S"":""LS2 7UA""}}}]","Admin","20-03-2024 18:18:38","Y63","","Admin","20-03-2024 18:18:38","North East And Yorkshire Commissioning Region","{""longitude"":{""S"":""""},""latitude"":{""S"":""""}}",""
"2712385086349858","true","[{""M"":{""country"":{""S"":""England""},""city"":{""S"":""Brixham""},""line"":{""L"":[{""S"":""2-3 Churchill Court""},{""S"":""Bolton Street""}]},""district"":{""S"":""Devon""},""postalCode"":{""S"":""TQ5 9DW""}}}]","Admin","20-03-2024 18:18:01","FJP75","","Admin","20-03-2024 18:18:01","Well","{""longitude"":{""S"":""""},""latitude"":{""S"":""""}}","10000010352"
